UDI,Product_ID,Type,Air_temperature_K_,Process_temperature_K_,Rotational_speed_rpm_,Torque_Nm_,Tool_wear_min_,Failure_Type
1,JSW 50,M,298.1,308.6,1551,42.8,0,No Failure
2,SM 2,L,298.2,308.7,1408,46.3,3,No Failure
3,SM 2,L,298.1,308.5,1498,49.4,5,No Failure
4,SM 2,L,298.2,308.6,1433,39.5,7,No Failure
5,SM 2,L,298.2,308.7,1408,40,9,No Failure
6,JSW 50,M,298.1,308.6,1425,41.9,11,No Failure
7,SM 2,L,298.1,308.6,1558,42.4,14,No Failure
8,SM 2,L,298.1,308.6,1527,40.2,16,No Failure
9,JSW 50,M,298.3,308.7,1667,28.6,18,No Failure
10,JSW 50,M,298.5,309,1741,28,21,No Failure
11,SM 1 ,H,298.4,308.9,1782,23.9,24,No Failure
12,SM 1,H,298.6,309.1,1423,44.3,29,No Failure
13,JSW 50,M,298.6,309.1,1339,51.1,34,No Failure
14,JSW 50,M,298.6,309.2,1742,30,37,No Failure
15,SM 2,L,298.6,309.2,2035,19.6,40,No Failure
16,SM 3,L,298.6,309.2,1542,48.4,42,No Failure
17,JSW 50,M,298.6,309.2,1311,46.6,44,No Failure
18,JSW 50,M,298.7,309.2,1410,45.6,47,No Failure
19,SM 1,H,298.8,309.2,1306,54.5,50,No Failure
20,JSW 50,M,298.9,309.3,1632,32.5,55,No Failure
21,SM 1,H,298.9,309.3,1375,42.7,58,No Failure
22,SM 3,L,298.8,309.3,1450,44.8,63,No Failure
23,JSW 50,M,298.9,309.3,1581,30.7,65,No Failure
24,SM 3,L,299,309.4,1758,25.7,68,No Failure
25,JSW 50,M,299,309.4,1561,37.3,70,No Failure
26,SM 3,L,299,309.5,1861,23.3,73,No Failure
27,SM 3,L,299.1,309.5,1512,39,75,No Failure
28,SM 1,H,299.1,309.4,1811,24.6,77,No Failure
29,SM 3,L,299.1,309.4,1439,44.2,82,No Failure
30,SM 3,L,299,309.4,1693,30.1,84,No Failure
31,JSW 50,M,299.1,309.5,1339,48.2,86,No Failure
32,SM 3,L,299,309.4,1798,25.5,89,No Failure
33,SM 3,L,299,309.4,1419,48.3,91,No Failure
34,SM 3,L,298.9,309.3,1665,32.5,93,No Failure
35,JSW 50,M,298.8,309.1,1559,34.7,95,No Failure
36,JSW 50,M,298.8,309.2,1452,48.6,98,No Failure
37,JSW 50,M,298.9,309.2,1581,36.7,101,No Failure
38,SM 3,L,298.8,309.1,1439,39.2,104,No Failure
39,SM 1,H,298.9,309.2,1379,50.7,106,No Failure
40,SM 3,L,298.8,309.1,1350,52.5,111,No Failure
41,SM 3,L,298.8,309.1,1362,45.4,113,No Failure
42,SM 3,L,298.8,309.1,1368,50.8,115,No Failure
43,JSW 50,M,298.8,309.1,1368,49.1,117,No Failure
44,SM 1,H,298.8,309.2,1372,48.5,120,No Failure
45,JSW 50,M,298.8,309.1,1472,47.5,125,No Failure
46,SM 3,L,298.8,309.1,1489,49.1,128,No Failure
47,JSW 50,M,298.7,309,1843,25.8,130,No Failure
48,SM 3,L,298.8,309.1,1418,46.3,133,No Failure
49,SM 1,H,298.8,309.2,1425,53.9,135,No Failure
50,JSW 50,M,298.9,309.2,1412,44.1,140,No Failure
51,SM 3,L,298.9,309.1,2861,4.6,143,Power Failure
52,SM 3,L,298.9,309.1,1383,54.9,145,No Failure
53,SM 1,H,298.8,309,1497,43.8,147,No Failure
54,SM 3,L,298.7,309,1565,35.1,152,No Failure
55,SM 3,L,298.7,309,1691,30.1,154,No Failure
56,SM 3,L,298.8,309.1,1512,40.7,156,No Failure
57,SM 3,L,298.8,309.1,1477,42.4,158,No Failure
58,SM 3,L,298.8,309.1,1513,40.3,160,No Failure
59,JSW 50,M,298.8,309,1661,29.5,162,No Failure
60,SM 3,L,298.8,309.1,1378,54.4,165,No Failure
61,SM 3,L,298.8,309.1,1393,52.6,167,No Failure
62,JSW 50,M,298.8,309,1592,38.2,169,No Failure
63,SM 3,L,298.8,309,1829,22.9,172,No Failure
64,JSW 50,M,298.9,309,1812,25.9,174,No Failure
65,SM 3,L,299,309.1,1523,38.6,177,No Failure
66,SM 3,L,299,309.1,1394,45.1,179,No Failure
67,JSW 50,M,298.9,308.9,1679,28.7,181,No Failure
68,SM 1,H,298.8,308.9,1466,44.1,184,No Failure
69,SM 3,L,298.8,308.9,1527,32.4,189,No Failure
70,SM 3,L,298.9,309,1410,65.7,191,Power Failure
71,JSW 50,M,298.9,309,1924,22.6,193,No Failure
72,SM 3,L,298.9,309.1,1452,45.5,196,No Failure
73,SM 3,L,298.9,309.1,1369,44.4,198,No Failure
74,SM 3,L,299,309.1,1592,35,200,No Failure
75,SM 3,L,298.9,309,1601,32.3,202,No Failure
76,SM 3,L,298.8,308.9,1379,46.7,204,No Failure
77,SM 3,L,298.8,308.9,1461,47.9,206,No Failure
79,SM 3,L,298.8,308.9,1398,51.5,0,No Failure
